DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,DESTINATION_CITY,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_COUNTRY,ORIGIN_LATITUDE,ORIGIN_LONGITUDE
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,1,1,4,EV,4311,N15912,ORD,1820,1812.0,-8.0,22.0,1834.0,109.0,105.0,77.0,654,2051.0,6.0,2109,2057.0,-12.0,0,0,,,,,,,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,9,23,3,EV,5969,N16561,ORD,1357,1350.0,-7.0,27.0,1417.0,115.0,117.0,87.0,654,1644.0,3.0,1652,1647.0,-5.0,0,0,,,,,,,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,5,16,6,DL,2582,N957AT,ATL,2035,2033.0,-2.0,11.0,2044.0,123.0,114.0,99.0,692,2223.0,4.0,2238,2227.0,-11.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,12,13,7,DL,1600,N998AT,ATL,2105,2102.0,-3.0,18.0,2120.0,121.0,107.0,85.0,692,2245.0,4.0,2306,2249.0,-17.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,2015,8,7,5,EV,5018,N878AS,DTW,1007,1003.0,-4.0,16.0,1019.0,87.0,86.0,67.0,425,1126.0,3.0,1134,1129.0,-5.0,0,0,,,,,,,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,2,6,5,MQ,3135,N671MQ,DFW,2150,2145.0,-5.0,11.0,2156.0,46.0,43.0,29.0,158,2225.0,3.0,2236,2228.0,-8.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,4,20,1,MQ,2927,N656MQ,DFW,1830,1829.0,-1.0,17.0,1846.0,60.0,49.0,29.0,158,1915.0,3.0,1930,1918.0,-12.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,7,5,7,MQ,3441,N631MQ,DFW,1700,1717.0,17.0,15.0,1732.0,59.0,46.0,30.0,158,1802.0,1.0,1759,1803.0,4.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,2015,9,17,4,MQ,3445,N833MQ,DFW,2145,2231.0,46.0,17.0,2248.0,51.0,50.0,28.0,158,2316.0,5.0,2236,2321.0,45.0,0,0,,0.0,0.0,45.0,0.0,0.0,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,1,7,3,WN,1945,N271LV,LAX,1525,1554.0,29.0,9.0,1603.0,100.0,106.0,93.0,677,1836.0,4.0,1805,1840.0,35.0,0,0,,6.0,0.0,3.0,26.0,0.0,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,4,20,1,WN,734,N7720F,LAX,2200,2225.0,25.0,10.0,2235.0,105.0,100.0,86.0,677,101.0,4.0,45,105.0,20.0,0,0,,0.0,0.0,18.0,2.0,0.0,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,7,10,5,WN,558,N385SW,LAX,850,907.0,17.0,9.0,916.0,110.0,100.0,85.0,677,1141.0,6.0,1140,1147.0,7.0,0,0,,,,,,,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,9,25,5,WN,1224,N270WN,LAX,2110,2104.0,-6.0,17.0,2121.0,105.0,109.0,87.0,677,2348.0,5.0,2355,2353.0,-2.0,0,0,,,,,,,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,8,12,3,OO,6416,N771SK,SFO,1056,1052.0,-4.0,22.0,1114.0,155.0,146.0,117.0,896,1411.0,7.0,1431,1418.0,-13.0,0,0,,,,,,,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,12,14,1,AS,794,N538AS,SEA,1140,1134.0,-6.0,18.0,1152.0,175.0,171.0,146.0,1180,1518.0,7.0,1535,1525.0,-10.0,0,0,,,,,,,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,5,9,6,WN,2244,N779SW,LAS,1930,1925.0,-5.0,11.0,1936.0,85.0,77.0,60.0,486,2136.0,6.0,2155,2142.0,-13.0,0,0,,,,,,,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,9,18,5,WN,1116,N402WN,LAS,2035,2054.0,19.0,18.0,2112.0,85.0,80.0,59.0,486,2311.0,3.0,2300,2314.0,14.0,0,0,,,,,,,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,2,26,4,WN,4558,N642WN,DEN,825,822.0,-3.0,26.0,848.0,75.0,84.0,53.0,349,941.0,5.0,940,946.0,6.0,0,0,,,,,,,Denver International Airport,Denver,CO,USA,39.85841,-104.667
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,6,14,7,UA,377,N401UA,DEN,1845,1842.0,-3.0,12.0,1854.0,82.0,73.0,55.0,349,1949.0,6.0,2007,1955.0,-12.0,0,0,,,,,,,Denver International Airport,Denver,CO,USA,39.85841,-104.667
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,9,10,4,UA,247,N844UA,DEN,1530,1534.0,4.0,10.0,1544.0,81.0,68.0,51.0,349,1635.0,7.0,1651,1642.0,-9.0,0,0,,,,,,,Denver International Airport,Denver,CO,USA,39.85841,-104.667
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,1,31,6,OO,4462,N821SK,SLC,1034,1025.0,-9.0,19.0,1044.0,96.0,100.0,72.0,493,1156.0,9.0,1210,1205.0,-5.0,0,0,,,,,,,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,7,24,5,DL,1094,N352NW,SLC,2151,2204.0,13.0,16.0,2220.0,94.0,92.0,70.0,493,2330.0,6.0,2325,2336.0,11.0,0,0,,,,,,,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,8,14,5,WN,2964,N229WN,PDX,1015,1013.0,-2.0,15.0,1028.0,160.0,161.0,141.0,1111,1349.0,5.0,1355,1354.0,-1.0,0,0,,,,,,,Portland International Airport,Portland,OR,USA,45.58872,-122.5975
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,1,27,2,WN,1980,N771SA,PHX,1725,1723.0,-2.0,7.0,1730.0,60.0,57.0,46.0,328,1816.0,4.0,1825,1820.0,-5.0,0,0,,,,,,,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,4,2,4,WN,939,N390SW,PHX,1735,1806.0,31.0,5.0,1811.0,60.0,53.0,44.0,328,1955.0,4.0,1935,1959.0,24.0,0,0,,0.0,0.0,0.0,24.0,0.0,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,6,1,1,WN,509,N384SW,PHX,555,549.0,-6.0,11.0,600.0,60.0,59.0,44.0,328,744.0,4.0,755,748.0,-7.0,0,0,,,,,,,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,7,31,5,WN,908,N968WN,PHX,715,716.0,1.0,9.0,725.0,65.0,58.0,45.0,328,910.0,4.0,920,914.0,-6.0,0,0,,,,,,,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,11,18,3,WN,2628,N749SW,PHX,840,840.0,0.0,15.0,855.0,65.0,65.0,45.0,328,940.0,5.0,945,945.0,0.0,0,0,,,,,,,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,33.43417,-112.00806
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,7,24,5,MQ,3058,N3AEMQ,ORD,1120,1246.0,86.0,32.0,1318.0,174.0,180.0,144.0,1118,1442.0,4.0,1314,1446.0,92.0,0,0,,6.0,0.0,0.0,86.0,0.0,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,1,31,6,AA,2388,N501AA,DFW,2120,2117.0,-3.0,12.0,2129.0,112.0,102.0,86.0,569,2155.0,4.0,2212,2159.0,-13.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,5,10,7,AA,1573,N528AA,DFW,1020,1708.0,408.0,15.0,1723.0,117.0,104.0,85.0,569,1748.0,4.0,1117,1752.0,395.0,0,0,,0.0,0.0,0.0,366.0,29.0,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,8,3,1,AA,1573,N565AA,DFW,1030,1133.0,63.0,10.0,1143.0,114.0,88.0,75.0,569,1158.0,3.0,1124,1201.0,37.0,0,0,,0.0,0.0,11.0,26.0,0.0,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,12,1,2,AA,1500,N483AA,DFW,900,854.0,-6.0,15.0,909.0,118.0,112.0,92.0,569,941.0,5.0,958,946.0,-12.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,5,13,3,EV,3922,N14180,IAH,1442,1450.0,8.0,16.0,1506.0,141.0,178.0,158.0,744,1644.0,4.0,1603,1648.0,45.0,0,0,,37.0,0.0,0.0,0.0,8.0,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,5,7,4,B6,65,N563JB,JFK,1936,1940.0,4.0,49.0,2029.0,314.0,340.0,284.0,1826,2313.0,7.0,2250,2320.0,30.0,0,0,,26.0,0.0,4.0,0.0,0.0,John F. Kennedy International AirportÂ (New York International Airport),New York,NY,USA,40.63975,-73.77893
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,12,27,7,WN,672,N8624J,MCI,1635,1658.0,23.0,9.0,1707.0,130.0,113.0,97.0,718,1744.0,7.0,1745,1751.0,6.0,0,0,,,,,,,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,8,10,1,DL,2216,N363NW,ATL,1941,1953.0,12.0,60.0,2053.0,202.0,234.0,168.0,1269,2141.0,6.0,2103,2147.0,44.0,0,0,,32.0,0.0,0.0,0.0,12.0,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,4,14,2,WN,1434,N223WN,OAK,1210,1215.0,5.0,8.0,1223.0,130.0,127.0,112.0,889,1515.0,7.0,1520,1522.0,2.0,0,0,,,,,,,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,11,20,5,WN,361,N795SW,OAK,1940,1956.0,16.0,10.0,2006.0,135.0,120.0,105.0,889,2251.0,5.0,2255,2256.0,1.0,0,0,,,,,,,Oakland International Airport,Oakland,CA,USA,37.72129,-122.22072
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,9,10,4,WN,474,N7825A,BWI,950,951.0,1.0,19.0,1010.0,255.0,250.0,226.0,1670,1156.0,5.0,1205,1201.0,-4.0,0,0,,,,,,,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,4,17,5,WN,865,N622SW,HOU,2205,2359.0,114.0,11.0,10.0,130.0,135.0,109.0,759,59.0,15.0,2315,114.0,119.0,0,0,,5.0,0.0,0.0,114.0,0.0,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,11,12,4,WN,2169,N8639B,HOU,2150,2151.0,1.0,16.0,2207.0,130.0,134.0,112.0,759,2259.0,6.0,2300,2305.0,5.0,0,0,,,,,,,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,3,21,6,WN,1817,N794SW,DAL,710,707.0,-3.0,8.0,715.0,110.0,93.0,82.0,580,737.0,3.0,800,740.0,-20.0,0,0,,,,,,,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,7,6,1,WN,36,N758SW,DAL,1640,1657.0,17.0,11.0,1708.0,100.0,129.0,111.0,580,1759.0,7.0,1720,1806.0,46.0,0,0,,29.0,0.0,17.0,0.0,0.0,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,11,20,5,WN,599,N615SW,DAL,800,800.0,0.0,12.0,812.0,110.0,111.0,93.0,580,845.0,6.0,850,851.0,1.0,0,0,,,,,,,Dallas Love Field,Dallas,TX,USA,32.84711,-96.85177
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,6,15,1,WN,2162,N757LV,SAN,1110,1108.0,-2.0,13.0,1121.0,100.0,101.0,82.0,628,1343.0,6.0,1350,1349.0,-1.0,0,0,,,,,,,San Diego International AirportÂ (Lindbergh Field),San Diego,CA,USA,32.73356,-117.18966
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,2015,4,13,1,WN,487,N212WN,MDW,840,1006.0,86.0,10.0,1016.0,185.0,185.0,170.0,1121,1206.0,5.0,1045,1211.0,86.0,0,0,,0.0,0.0,4.0,82.0,0.0,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,2015,1,21,3,OO,7363,N443SW,MSP,1345,1345.0,0.0,42.0,1427.0,84.0,92.0,47.0,257,1514.0,3.0,1509,1517.0,8.0,0,0,,,,,,,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,2015,9,30,3,OO,7419,N446SW,MSP,2145,2139.0,-6.0,11.0,2150.0,69.0,66.0,49.0,257,2239.0,6.0,2254,2245.0,-9.0,0,0,,,,,,,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,2015,5,20,3,EV,5335,N852AS,ATL,1600,1603.0,3.0,14.0,1617.0,47.0,44.0,27.0,145,1644.0,3.0,1647,1647.0,0.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,2015,5,21,4,B6,1552,N249JB,BOS,1215,1209.0,-6.0,14.0,1223.0,50.0,44.0,24.0,91,1247.0,6.0,1305,1253.0,-12.0,0,0,,,,,,,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,2015,1,4,7,MQ,2994,N925MQ,DFW,1730,1743.0,13.0,24.0,1807.0,38.0,55.0,26.0,89,1833.0,5.0,1808,1838.0,30.0,0,0,,17.0,0.0,13.0,0.0,0.0,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,2015,4,25,6,MQ,2966,N651MQ,DFW,1705,1743.0,38.0,31.0,1814.0,49.0,51.0,18.0,89,1832.0,2.0,1754,1834.0,40.0,0,0,,2.0,0.0,16.0,22.0,0.0,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,2015,8,11,2,EV,2651,N687JS,DFW,1227,1226.0,-1.0,27.0,1253.0,47.0,50.0,20.0,89,1313.0,3.0,1314,1316.0,2.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,2015,12,26,6,EV,2748,N633AE,DFW,855,852.0,-3.0,16.0,908.0,47.0,39.0,21.0,89,929.0,2.0,942,931.0,-11.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,2015,4,29,3,OO,5523,N905SW,SFO,2230,2222.0,-8.0,17.0,2239.0,72.0,64.0,41.0,250,2320.0,6.0,2342,2326.0,-16.0,0,0,,,,,,,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,2015,9,15,2,OO,5555,N789SK,SFO,1615,1610.0,-5.0,17.0,1627.0,71.0,63.0,41.0,250,1708.0,5.0,1726,1713.0,-13.0,0,0,,,,,,,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,2015,1,15,4,NK,312,N623NK,MCO,1438,1425.0,-13.0,13.0,1438.0,127.0,122.0,105.0,852,1623.0,4.0,1645,1627.0,-18.0,0,0,,,,,,,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,2015,7,30,4,NK,324,N607NK,MCO,2130,2121.0,-9.0,16.0,2137.0,130.0,138.0,116.0,852,2333.0,6.0,2340,2339.0,-1.0,0,0,,,,,,,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,2015,6,29,1,NK,332,N517NK,ATL,1415,1410.0,-5.0,12.0,1422.0,118.0,106.0,87.0,679,1549.0,7.0,1613,1556.0,-17.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,2015,5,28,4,NK,262,N607NK,FLL,1445,1451.0,6.0,12.0,1503.0,151.0,142.0,126.0,977,1709.0,4.0,1716,1713.0,-3.0,0,0,,,,,,,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA,26.07258,-80.15275
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,2015,3,29,7,NK,348,N629NK,TPA,1710,1715.0,5.0,11.0,1726.0,139.0,151.0,132.0,913,1938.0,8.0,1929,1946.0,17.0,0,0,,12.0,0.0,5.0,0.0,0.0,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,2015,2,21,6,NK,936,N615NK,RSW,927,922.0,-5.0,8.0,930.0,140.0,136.0,123.0,982,1133.0,5.0,1147,1138.0,-9.0,0,0,,,,,,,Southwest Florida International Airport,Ft. Myers,FL,USA,26.53617,-81.75517
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,2015,8,20,4,NK,341,N529NK,DTW,830,830.0,0.0,12.0,842.0,85.0,89.0,75.0,497,957.0,2.0,955,959.0,4.0,0,0,,,,,,,Detroit Metropolitan Airport,Detroit,MI,USA,42.21206,-83.34884
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,2015,3,14,6,AS,49,N760AS,ANC,1530,1521.0,-9.0,11.0,1532.0,54.0,57.0,43.0,253,1615.0,3.0,1624,1618.0,-6.0,0,0,,,,,,,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,2015,2,9,1,MQ,3198,N617MQ,DFW,1950,1948.0,-2.0,15.0,2003.0,65.0,63.0,43.0,285,2046.0,5.0,2055,2051.0,-4.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,2015,8,7,5,MQ,3456,N645MQ,DFW,1735,1732.0,-3.0,18.0,1750.0,72.0,66.0,46.0,285,1836.0,2.0,1847,1838.0,-9.0,0,0,,,,,,,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,2015,3,8,7,EV,4427,N16525,IAH,1036,1044.0,8.0,21.0,1105.0,57.0,58.0,32.0,190,1137.0,5.0,1133,1142.0,9.0,0,0,,,,,,,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,2015,9,1,2,EV,4862,N13994,IAH,2110,2058.0,-12.0,7.0,2105.0,54.0,43.0,33.0,190,2138.0,3.0,2204,2141.0,-23.0,0,0,,,,,,,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,2015,3,19,4,EV,5485,N914EV,ATL,939,943.0,4.0,23.0,1006.0,107.0,109.0,84.0,500,1030.0,2.0,1026,1032.0,6.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,2015,7,30,4,EV,5136,N858AS,ATL,1647,1643.0,-4.0,33.0,1716.0,103.0,109.0,74.0,500,1730.0,2.0,1730,1732.0,2.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
AGS,Augusta Regional AirportÂ (Bush Field),Augusta,GA,USA,33.36996,-81.9645,2015,1,8,4,EV,4918,N607LR,ATL,1145,1301.0,76.0,20.0,1321.0,47.0,49.0,26.0,143,1347.0,3.0,1232,1350.0,78.0,0,0,,2.0,0.0,76.0,0.0,0.0,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
AGS,Augusta Regional AirportÂ (Bush Field),Augusta,GA,USA,33.36996,-81.9645,2015,3,25,3,EV,4966,N868AS,ATL,905,900.0,-5.0,14.0,914.0,48.0,51.0,33.0,143,947.0,4.0,953,951.0,-2.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
AGS,Augusta Regional AirportÂ (Bush Field),Augusta,GA,USA,33.36996,-81.9645,2015,5,31,7,DL,2637,N994AT,ATL,2256,2254.0,-2.0,15.0,2309.0,51.0,50.0,30.0,143,2339.0,5.0,2347,2344.0,-3.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
AGS,Augusta Regional AirportÂ (Bush Field),Augusta,GA,USA,33.36996,-81.9645,2015,8,9,7,EV,5060,N842AS,ATL,2306,2306.0,0.0,15.0,2321.0,49.0,48.0,29.0,143,2350.0,4.0,2355,2354.0,-1.0,0,0,,,,,,,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
AGS,Augusta Regional AirportÂ (Bush Field),Augusta,GA,USA,33.36996,-81.9645,2015,11,18,3,EV,5411,N881AS,ATL,1515,1640.0,85.0,23.0,1703.0,53.0,54.0,27.0,143,1730.0,4.0,1608,1734.0,86.0,0,0,,1.0,0.0,9.0,76.0,0.0,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,2015,7,18,6,WN,2237,N767SW,LAS,1645,1908.0,143.0,18.0,1926.0,280.0,274.0,250.0,2237,236.0,6.0,25,242.0,137.0,0,0,,0.0,0.0,134.0,3.0,0.0,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,2015,3,13,5,UA,622,N804UA,ORD,1319,1316.0,-3.0,18.0,1334.0,116.0,105.0,85.0,723,1559.0,2.0,1615,1601.0,-14.0,0,0,,,,,,,Chicago O'Hare International Airport,Chicago,IL,USA,41.9796,-87.90446
