DESTINATION_AIRPORT,DESTINATION_AIRPORT_NAME,DESTINATION_CITY,DESTINATION_STATE,DESTINATION_COUNTRY,DESTINATION_LATITUDE,DESTINATION_LONGITUDE,YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY,ORIGIN_AIRPORT_NAME,ORIGIN_CITY,ORIGIN_STATE,ORIGIN_COUNTRY,ORIGIN_LATITUDE,ORIGIN_LONGITUDE
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,2015,1,1,4,AS,135,N527AS,SEA,25,24,-1,11,35,235,215,199,1448,254,5,320,259,-21,0,0,,,,,,,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,2015,1,1,4,US,2013,N584UW,LAX,30,44,14,13,57,273,249,228,2125,745,8,803,753,-10,0,0,,,,,,,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
CLT,Charlotte Douglas International Airport,Charlotte,NC,USA,35.21401,-80.94313,2015,1,1,4,US,840,N171US,SFO,20,18,-2,16,34,286,293,266,2296,800,11,806,811,5,0,0,,,,,,,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,USA,32.89595,-97.0372,2015,1,1,4,AA,1112,N3LAAA,SFO,30,19,-11,17,36,195,193,173,1464,529,3,545,532,-13,0,0,,,,,,,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,2015,1,1,4,AA,258,N3HYAA,LAX,20,15,-5,15,30,285,281,258,2342,748,8,805,756,-9,0,0,,,,,,,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,2015,1,1,4,DL,806,N3730B,SFO,25,20,-5,18,38,217,230,206,1589,604,6,602,610,8,0,0,,,,,,,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,2015,1,1,4,NK,612,N635NK,LAS,25,19,-6,11,30,181,170,154,1299,504,5,526,509,-17,0,0,,,,,,,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233
PBI,Palm Beach International Airport,West Palm Beach,FL,USA,26.68316,-80.09559,2015,1,1,4,AA,2336,N3KUAA,LAX,10,2,-8,12,14,280,279,263,2330,737,4,750,741,-9,0,0,,,,,,,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,2015,1,1,4,AS,98,N407AS,ANC,5,2354,-11,21,15,205,194,169,1448,404,4,430,408,-22,0,0,,,,,,,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619
